"","age_bin","gender","ANY","EAC","EGJAC"
"1","(0,30]",0,1.41643417950472,1.25067570402815,1.44181526864062
"2","(0,30]",1,2.40374739195176,2.22137721412134,1.63629668149681
"3","(30,40]",0,1.6282100809547,1.33718031403044,1.49274160327183
"4","(30,40]",1,2.77792652359863,2.40227631093432,1.67846732517323
"5","(40,50]",0,6.89126563212062,3.95698744532134,4.430022404511
"6","(40,50]",1,16.1045074012733,10.076679855373,6.74262216835347
"7","(50,60]",0,13.6795645157137,9.03608083889378,10.8068565873689
"8","(50,60]",1,80.5098530213867,54.2171834062498,27.3221717547679
"9","(60,70]",0,21.8745959796014,14.1828142254781,16.9849962187873
"10","(60,70]",1,140.257198503712,98.4055267189815,41.4754484193456
"11","(70,80]",0,18.9199400148444,12.6955758834007,14.0555283238707
"12","(70,80]",1,95.5049264509996,69.4355046602051,30.2645916357207
"13","(80,100]",0,13.9186395575622,9.48825464715202,11.9333998691937
"14","(80,100]",1,59.7567840287834,42.9781749985961,24.0005919385033
