"","df","category","group","variable","vtype","n","nc","prop_coherent"
"341","all","Lab","mpv","min <= mean","coherence",2567069,2567069,0.925534919396401
"342","all","Lab","mpv","mean <= max","coherence",2567069,2567069,0.913537579239202
"343","all","Lab","mpv","mindiff <= maxdiff","coherence",2567069,2567069,0.966924924885151
"344","control","Lab","mpv","min <= mean","coherence",2564221,2564221,0.925515390444115
"345","control","Lab","mpv","mean <= max","coherence",2564221,2564221,0.913517984604291
"346","control","Lab","mpv","mindiff <= maxdiff","coherence",2564221,2564221,0.966917048101548
"347","cases","Lab","mpv","min <= mean","coherence",2848,2848,0.94311797752809
"348","cases","Lab","mpv","mean <= max","coherence",2848,2848,0.931179775280899
"349","cases","Lab","mpv","mindiff <= maxdiff","coherence",2848,2848,0.974016853932584
"350","EAC","Lab","mpv","min <= mean","coherence",2076,2076,0.939788053949904
"351","EAC","Lab","mpv","mean <= max","coherence",2076,2076,0.930635838150289
"352","EAC","Lab","mpv","mindiff <= maxdiff","coherence",2076,2076,0.973988439306358
"353","EGJAC","Lab","mpv","min <= mean","coherence",772,772,0.952072538860104
"354","EGJAC","Lab","mpv","mean <= max","coherence",772,772,0.932642487046632
"355","EGJAC","Lab","mpv","mindiff <= maxdiff","coherence",772,772,0.974093264248705
"356","all","Lab","na","min <= mean","coherence",2567069,2567069,0.993658526514091
"357","all","Lab","na","mean <= max","coherence",2567069,2567069,0.971733911320654
"358","all","Lab","na","mindiff <= maxdiff","coherence",2567069,2567069,0.985802095697467
"359","control","Lab","na","min <= mean","coherence",2564221,2564221,0.99365499307587
"360","control","Lab","na","mean <= max","coherence",2564221,2564221,0.971719676268153
"361","control","Lab","na","mindiff <= maxdiff","coherence",2564221,2564221,0.985798415971166
"362","cases","Lab","na","min <= mean","coherence",2848,2848,0.996839887640449
"363","cases","Lab","na","mean <= max","coherence",2848,2848,0.984550561797753
"364","cases","Lab","na","mindiff <= maxdiff","coherence",2848,2848,0.989115168539326
"365","EAC","Lab","na","min <= mean","coherence",2076,2076,0.997109826589595
"366","EAC","Lab","na","mean <= max","coherence",2076,2076,0.984585741811175
"367","EAC","Lab","na","mindiff <= maxdiff","coherence",2076,2076,0.988921001926782
"368","EGJAC","Lab","na","min <= mean","coherence",772,772,0.996113989637306
"369","EGJAC","Lab","na","mean <= max","coherence",772,772,0.984455958549223
"370","EGJAC","Lab","na","mindiff <= maxdiff","coherence",772,772,0.989637305699482
"371","all","Lab","neut","min <= mean","coherence",2567069,2567069,0.90469247223195
"372","all","Lab","neut","mean <= max","coherence",2567069,2567069,0.912471772281929
"373","all","Lab","neut","mindiff <= maxdiff","coherence",2567069,2567069,0.922179731047354
"374","control","Lab","neut","min <= mean","coherence",2564221,2564221,0.904679432856996
"375","control","Lab","neut","mean <= max","coherence",2564221,2564221,0.912446314104752
"376","control","Lab","neut","mindiff <= maxdiff","coherence",2564221,2564221,0.922157255556366
"377","cases","Lab","neut","min <= mean","coherence",2848,2848,0.916432584269663
"378","cases","Lab","neut","mean <= max","coherence",2848,2848,0.935393258426966
"379","cases","Lab","neut","mindiff <= maxdiff","coherence",2848,2848,0.942415730337079
"380","EAC","Lab","neut","min <= mean","coherence",2076,2076,0.918111753371869
"381","EAC","Lab","neut","mean <= max","coherence",2076,2076,0.93111753371869
"382","EAC","Lab","neut","mindiff <= maxdiff","coherence",2076,2076,0.942196531791908
"383","EGJAC","Lab","neut","min <= mean","coherence",772,772,0.911917098445596
"384","EGJAC","Lab","neut","mean <= max","coherence",772,772,0.946891191709845
"385","EGJAC","Lab","neut","mindiff <= maxdiff","coherence",772,772,0.94300518134715
"386","all","Lab","platelet","min <= mean","coherence",2567069,2567069,0.953298489444577
"387","all","Lab","platelet","mean <= max","coherence",2567069,2567069,0.95472813547279
"388","all","Lab","platelet","mindiff <= maxdiff","coherence",2567069,2567069,0.986077507071294
"389","control","Lab","platelet","min <= mean","coherence",2564221,2564221,0.953273138313741
"390","control","Lab","platelet","mean <= max","coherence",2564221,2564221,0.954704372205048
"391","control","Lab","platelet","mindiff <= maxdiff","coherence",2564221,2564221,0.986070233415918
"392","cases","Lab","platelet","min <= mean","coherence",2848,2848,0.976123595505618
"393","cases","Lab","platelet","mean <= max","coherence",2848,2848,0.976123595505618
"394","cases","Lab","platelet","mindiff <= maxdiff","coherence",2848,2848,0.992626404494382
"395","EAC","Lab","platelet","min <= mean","coherence",2076,2076,0.974470134874759
"396","EAC","Lab","platelet","mean <= max","coherence",2076,2076,0.975915221579961
"397","EAC","Lab","platelet","mindiff <= maxdiff","coherence",2076,2076,0.993256262042389
"398","EGJAC","Lab","platelet","min <= mean","coherence",772,772,0.980569948186529
"399","EGJAC","Lab","platelet","mean <= max","coherence",772,772,0.976683937823834
"400","EGJAC","Lab","platelet","mindiff <= maxdiff","coherence",772,772,0.990932642487047
"401","all","Medication","ppi","mean <= max","coherence",2567069,2567069,0.818010735200339
"402","all","Medication","ppi","maxdiff <= max","coherence",2567069,2567069,0.972591698937582
"403","control","Medication","ppi","mean <= max","coherence",2564221,2564221,0.817978247584744
"404","control","Medication","ppi","maxdiff <= max","coherence",2564221,2564221,0.972582316422804
"405","cases","Medication","ppi","mean <= max","coherence",2848,2848,0.847261235955056
"406","cases","Medication","ppi","maxdiff <= max","coherence",2848,2848,0.981039325842697
"407","EAC","Medication","ppi","mean <= max","coherence",2076,2076,0.844894026974952
"408","EAC","Medication","ppi","maxdiff <= max","coherence",2076,2076,0.978323699421965
"409","EGJAC","Medication","ppi","mean <= max","coherence",772,772,0.853626943005181
"410","EGJAC","Medication","ppi","maxdiff <= max","coherence",772,772,0.988341968911917
"411","all","Demographic","race","At most 1","coherence",2567069,2567069,0.998231835607068
"412","control","Demographic","race","At most 1","coherence",2564221,2564221,0.99823026174421
"413","cases","Demographic","race","At most 1","coherence",2848,2848,0.999648876404494
"414","EAC","Demographic","race","At most 1","coherence",2076,2076,0.999518304431599
"415","EGJAC","Demographic","race","At most 1","coherence",772,772,1
"416","all","Demographic","smoke","At most 1","coherence",2567069,2567069,1
"417","control","Demographic","smoke","At most 1","coherence",2564221,2564221,1
"418","cases","Demographic","smoke","At most 1","coherence",2848,2848,1
"419","EAC","Demographic","smoke","At most 1","coherence",2076,2076,1
"420","EGJAC","Demographic","smoke","At most 1","coherence",772,772,1
"421","all","Lab","totprot","min <= mean","coherence",2567069,2567069,0.961467338821045
"422","all","Lab","totprot","mean <= max","coherence",2567069,2567069,0.939121231256347
"423","all","Lab","totprot","mindiff <= maxdiff","coherence",2567069,2567069,0.911854336599445
"424","control","Lab","totprot","min <= mean","coherence",2564221,2564221,0.961462370053127
"425","control","Lab","totprot","mean <= max","coherence",2564221,2564221,0.939111332447554
"426","control","Lab","totprot","mindiff <= maxdiff","coherence",2564221,2564221,0.911834042385582
"427","cases","Lab","totprot","min <= mean","coherence",2848,2848,0.965941011235955
"428","cases","Lab","totprot","mean <= max","coherence",2848,2848,0.948033707865168
"429","cases","Lab","totprot","mindiff <= maxdiff","coherence",2848,2848,0.930126404494382
"430","EAC","Lab","totprot","min <= mean","coherence",2076,2076,0.965799614643545
"431","EAC","Lab","totprot","mean <= max","coherence",2076,2076,0.947495183044316
"432","EAC","Lab","totprot","mindiff <= maxdiff","coherence",2076,2076,0.929672447013488
"433","EGJAC","Lab","totprot","min <= mean","coherence",772,772,0.966321243523316
"434","EGJAC","Lab","totprot","mean <= max","coherence",772,772,0.949481865284974
"435","EGJAC","Lab","totprot","mindiff <= maxdiff","coherence",772,772,0.931347150259067
"436","all","Lab","trig","min <= mean","coherence",2567069,2567069,0.959585815574104
"437","all","Lab","trig","mean <= max","coherence",2567069,2567069,0.966262301480794
"438","all","Lab","trig","mindiff <= maxdiff","coherence",2567069,2567069,0.882939258742169
"439","control","Lab","trig","min <= mean","coherence",2564221,2564221,0.959572127363437
"440","control","Lab","trig","mean <= max","coherence",2564221,2564221,0.966248228994303
"441","control","Lab","trig","mindiff <= maxdiff","coherence",2564221,2564221,0.882891919222251
"442","cases","Lab","trig","min <= mean","coherence",2848,2848,0.971910112359551
"443","cases","Lab","trig","mean <= max","coherence",2848,2848,0.978932584269663
"444","cases","Lab","trig","mindiff <= maxdiff","coherence",2848,2848,0.925561797752809
"445","EAC","Lab","trig","min <= mean","coherence",2076,2076,0.971098265895954
"446","EAC","Lab","trig","mean <= max","coherence",2076,2076,0.978323699421965
"447","EAC","Lab","trig","mindiff <= maxdiff","coherence",2076,2076,0.923410404624277
"448","EGJAC","Lab","trig","min <= mean","coherence",772,772,0.974093264248705
"449","EGJAC","Lab","trig","mean <= max","coherence",772,772,0.980569948186529
"450","EGJAC","Lab","trig","mindiff <= maxdiff","coherence",772,772,0.931347150259067
"451","all","Lab","wbc","min <= mean","coherence",2567069,2567069,0.970091181810851
"452","all","Lab","wbc","mean <= max","coherence",2567069,2567069,0.965765626089521
"453","all","Lab","wbc","mindiff <= maxdiff","coherence",2567069,2567069,0.98583170144628
"454","control","Lab","wbc","min <= mean","coherence",2564221,2564221,0.970079412031958
"455","control","Lab","wbc","mean <= max","coherence",2564221,2564221,0.965749832015259
"456","control","Lab","wbc","mindiff <= maxdiff","coherence",2564221,2564221,0.985822204872357
"457","cases","Lab","wbc","min <= mean","coherence",2848,2848,0.980688202247191
"458","cases","Lab","wbc","mean <= max","coherence",2848,2848,0.97998595505618
"459","cases","Lab","wbc","mindiff <= maxdiff","coherence",2848,2848,0.99438202247191
"460","EAC","Lab","wbc","min <= mean","coherence",2076,2076,0.980732177263969
"461","EAC","Lab","wbc","mean <= max","coherence",2076,2076,0.979287090558767
"462","EAC","Lab","wbc","mindiff <= maxdiff","coherence",2076,2076,0.994701348747592
"463","EGJAC","Lab","wbc","min <= mean","coherence",772,772,0.980569948186529
"464","EGJAC","Lab","wbc","mean <= max","coherence",772,772,0.981865284974093
"465","EGJAC","Lab","wbc","mindiff <= maxdiff","coherence",772,772,0.993523316062176
