"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"33","imputed","Lab","alkphos","alkphos_mean","continuous",2567069,1024909,0.600747389337801,75.1976817140962,19.4750534442717,18.25,62.25,72.6,85,1113.20689655172,0
"34","observed","Lab","alkphos","alkphos_min","continuous",2567069,1542160,0.399252610662199,67.9482089239768,22.9666720024645,1,53,65,78,1500,NA
"35","observed_and_imputed","Lab","alkphos","alkphos_min","continuous",2567069,2567069,0,67.3839133479466,21.0469939616159,1,54,65,77,1500,1.48350178326394e-142
"36","imputed","Lab","alkphos","alkphos_min","continuous",2567069,1024909,0.600747389337801,66.5348291214147,17.7381720286331,13,55,64,76,797,0
"37","observed","Lab","alkphos","alkphos_mindiff","continuous",2567069,1220276,0.524642306069685,-1.24126157697063,7.3828677114441,-950,-0.193181818181818,-0.0594059405940594,-0.0172811059907834,117,NA
"38","observed_and_imputed","Lab","alkphos","alkphos_mindiff","continuous",2567069,2567069,0,-0.687376670172976,5.1944222483582,-950,-0.125,-0.0466666666666667,-0.0151098901098901,117,0
"39","imputed","Lab","alkphos","alkphos_mindiff","continuous",2567069,1346793,0.475357693930315,-0.185523409480787,1.23010642084438,-205,-0.0904255319148936,-0.0392156862745098,-0.0136239782016349,18,0
"40","observed","Lab","alkphos","alkphos_tv","continuous",2567069,1220276,0.524642306069685,0.331479075576548,1.68347217205452,0,0.0233104890163151,0.0493765998011919,0.120667549011252,261.299889746417,NA
"41","observed_and_imputed","Lab","alkphos","alkphos_tv","continuous",2567069,2567069,0,0.210776093777266,1.20309082909574,0,0.0223153598784457,0.0429737753587333,0.0910964590964591,261.299889746417,0
"42","imputed","Lab","alkphos","alkphos_tv","continuous",2567069,1346793,0.475357693930315,0.101411884267639,0.407280994027137,0,0.0216483644233005,0.0389921722113503,0.0741121723151195,70,0
"43","observed","Lab","alt","alt_max","continuous",2567069,1603971,0.375174177242606,43.1207239844112,64.3694557014292,1,23,32,46,4952,NA
"44","observed_and_imputed","Lab","alt","alt_max","continuous",2567069,2567069,0,40.7287655181844,52.8626740404838,1,24,32,44,4952,0
"45","imputed","Lab","alt","alt_max","continuous",2567069,963098,0.624825822757394,36.7451293637823,22.8574286158239,4,25,32,42,2589,0
"46","observed","Lab","alt","alt_maxdiff","continuous",2567069,1302283,0.492696534452327,1.02538423030108,21.0164708732092,-578,0.0101146934808503,0.0380952380952381,0.128865979381443,4179,NA
"47","observed_and_imputed","Lab","alt","alt_maxdiff","continuous",2567069,2567069,0,0.570953980200324,15.002133700629,-578,0.00749063670411985,0.0285714285714286,0.0853080568720379,4179,3.16821948251446e-132
"48","imputed","Lab","alt","alt_maxdiff","continuous",2567069,1264786,0.507303465547673,0.103051276191932,1.25787172626391,-13.2222222222222,0.00546448087431694,0.021978021978022,0.058252427184466,662,0
"49","observed","Lab","alt","alt_mean","continuous",2567069,1603971,0.375174177242606,31.028670421746,23.5772829828263,1,19.5,26,35.9166666666667,3043.78571428571,NA
"50","observed_and_imputed","Lab","alt","alt_mean","continuous",2567069,2567069,0,30.1816868280659,20.3349708882987,1,20,26,35,3043.78571428571,0
"51","imputed","Lab","alt","alt_mean","continuous",2567069,963098,0.624825822757394,28.7710960867927,13.1608409515401,3.66666666666667,20.6363636363636,26,33.6666666666667,1271.375,0
"52","observed","Lab","alt","alt_min","continuous",2567069,1603971,0.375174177242606,23.6475650549168,15.4809444837756,1,15,20,28,1400,NA
"53","observed_and_imputed","Lab","alt","alt_min","continuous",2567069,2567069,0,23.0214244606203,13.8257882324483,1,15,20,27,1400,0
"54","imputed","Lab","alt","alt_min","continuous",2567069,963098,0.624825822757394,21.9786319772235,10.422423691909,1,15,20,26,537,0
"55","observed","Lab","alt","alt_mindiff","continuous",2567069,1302283,0.492696534452327,-1.27459896746654,17.3332908763747,-3005,-0.150485436893204,-0.0432432432432432,-0.0122950819672131,146,NA
"56","observed_and_imputed","Lab","alt","alt_mindiff","continuous",2567069,2567069,0,-0.71137135497314,12.379786156099,-3005,-0.100558659217877,-0.0355029585798817,-0.0115183246073298,146,8.21725283199909e-296
"57","imputed","Lab","alt","alt_mindiff","continuous",2567069,1264786,0.507303465547673,-0.131445782678107,1.02414067411902,-273,-0.0721153846153846,-0.0304878048780488,-0.0110803324099723,21.6666666666667,0
"58","observed","Lab","alt","alt_tv","continuous",2567069,1302283,0.492696534452327,0.335790577103815,3.72644188154026,0,0.0152705229445167,0.0344594594594595,0.0921242360947514,684.181535855449,NA
"59","observed_and_imputed","Lab","alt","alt_tv","continuous",2567069,2567069,0,0.214420322602225,2.68379071190164,0,0.014985902425246,0.0310880829015544,0.0729166666666667,684.181535855449,1.01389185693913e-294
"60","imputed","Lab","alt","alt_tv","continuous",2567069,1264786,0.507303465547673,0.0894518147731585,0.538672268503586,0,0.0147246477919661,0.0285714285714286,0.0599094736388996,194.323051948052,0
"61","observed","Demographic","race","asian","binary",2567069,2232306,0.130406701183334,0.0122913256515907,0.110182822634719,0,0,0,0,1,NA
"62","observed_and_imputed","Demographic","race","asian","binary",2567069,2567069,0,0.0125345286784265,0.111253849779913,0,0,0,0,1,0.0164223739864741
"63","imputed","Demographic","race","asian","binary",2567069,334763,0.869593298816666,0.0141562836992141,0.118135198057194,0,0,0,0,1,1.50456074231257e-19
"64","observed","Lab","ast","ast_max","continuous",2567069,1582445,0.383559616044602,37.9328177535396,65.0213657628595,1,22,28,37,4996,NA
"65","observed_and_imputed","Lab","ast","ast_max","continuous",2567069,2567069,0,35.2748737918615,52.6018832875675,1,22,27,35,4996,0
"66","imputed","Lab","ast","ast_max","continuous",2567069,984624,0.616440383955398,31.0031415037618,19.7380827784764,8,23,27,33,4437,0
"67","observed","Lab","ast","ast_maxdiff","continuous",2567069,1275924,0.502964665149242,1.23477627617672,25.3628394753494,-899,0.00815217391304348,0.0294117647058824,0.102040816326531,4700,NA
"68","observed_and_imputed","Lab","ast","ast_maxdiff","continuous",2567069,2567069,0,0.657429489326754,17.908041597386,-899,0.00546448087431694,0.0211640211640212,0.0633802816901408,4700,1.98118179693746e-146
"69","imputed","Lab","ast","ast_maxdiff","continuous",2567069,1291145,0.497035334850758,0.0868889058409653,1.1271129033101,-24,0.00364963503649635,0.016,0.0416666666666667,403,0
"70","observed","Lab","ast","ast_mean","continuous",2567069,1582445,0.383559616044602,27.4169623101882,19.3308781002833,1,19.6666666666667,23.5833333333333,29.1666666666667,3473,NA
"71","observed_and_imputed","Lab","ast","ast_mean","continuous",2567069,2567069,0,26.6448076617477,16.5725484981775,1,20,23.5,28.6666666666667,3473,0
"72","imputed","Lab","ast","ast_mean","continuous",2567069,984624,0.616440383955398,25.4038341910102,10.6296292681046,6.64285714285714,20,23.5,28,2857.5,0
