"","category","group","ANY","EAC","EGJAC"
"1","Demographic","gender",0.0842803299758397,0.0916013683583587,0.0430323536819778
"2","Demographic","bmi_weight",0.0510630340118926,0.0484263150838236,0.0197935381947825
"3","Demographic","race",0.12505931406114,0.161153773597512,0.0232842042167656
"4","Demographic","agentorange",0.00085763256676033,0.000168300148088565,0.00296028909389766
"5","Demographic","age",0.259832741454352,0.261295994198283,0.208529855039899
"6","Demographic","smoke",0.0538499693170573,0.0471118085629931,0.0151931068265207
"7","Comorbidities","gerd",0.0726680315144919,0.0831659852559865,0.0201541699452497
"8","Comorbidities","chf",0.000242108203033422,0.000439831060727738,0.000353338759467879
"9","Comorbidities","ctd",0,0.000171703868601362,0
"10","Comorbidities","dem",0,0,0
"11","Comorbidities","diab_c",0.0112683822803188,0.0082891435124015,0.0109917383651645
"12","Comorbidities","hiv",0,0,0
"13","Comorbidities","mld",0.00623955892376362,0.00313907307100453,0.00395846359566174
"14","Comorbidities","msld",0,2.61158223278608e-05,0
"15","Comorbidities","para",0,0,0
"16","Comorbidities","rd",0.0111293796621711,0.00812666624859743,0.00640185822767671
"17","Comorbidities","cd",0.0128893646690222,0.00825058604633858,0.0118953710059817
"18","Comorbidities","copd",0.0683204839066416,0.0626835068611614,0.0744642780315597
"19","Comorbidities","diab_nc",0.0372244787480403,0.0273029849916976,0.0216234244344194
"20","Comorbidities","mi",0.00747184067541937,0.00710957947237301,0.00186032077640266
"21","Comorbidities","pud",0.00184439861301013,0.000183375415980627,0
"22","Comorbidities","pvd",0.0257224435493071,0.0246267880747095,0.0226139475345693
"23","Medication","h2r",1.66470880571819e-05,0,0
"24","Medication","ppi",0.0156659058491069,0.0116656306779135,0.00207568847644263
"25","Lab","a1c",0.0113931641418675,0.0065994483491515,0.00211260889391177
"26","Lab","bun",0.0649170441583969,0.0564660141005185,0.0486947514845213
"27","Lab","calc",0.0227813487447482,0.0137061154623409,0.0139212129263139
"28","Lab","chlor",0.0180465258090807,0.0197684064399716,0.0208493996010053
"29","Lab","co2",0.0561489691312915,0.0606760090575179,0.026221417375257
"30","Lab","creat",0.0373963509010152,0.0390157016351481,0.0252538586252542
"31","Lab","gluc",0.0368044894638611,0.0392559084311112,0.0194488276266481
"32","Lab","k",0.037298867968301,0.0316460340704454,0.0471215294315758
"33","Lab","na",0.0902736933269467,0.0821185699061272,0.0773245078639025
"34","Lab","baso",0.0182842272994296,0.0153318499091139,0.000836132029113578
"35","Lab","eos",0.0104751252840398,0.0109472597013801,0.0135718811071206
"36","Lab","hct",0.0326409561327326,0.0331875915337512,0.0195692173880591
"37","Lab","lymph",0.0194054080927904,0.00653853334539055,0.0217578181151672
"38","Lab","mch",0.0320279751170526,0.0326576102971786,0.0166804984027756
"39","Lab","mchc",0.0277288845332948,0.0215871497364544,0.0116673092009072
"40","Lab","mcv",0.0152272197274161,0.0135007333759815,0.0151796178089297
"41","Lab","mono",0.0206761637637227,0.0108945380356979,0.010342154594323
"42","Lab","mpv",0.0247377546303366,0.00699803027112931,0.0532771116031116
"43","Lab","neut",0.0257004453455197,0.0262565723405417,0.00161536690666525
"44","Lab","platelet",0.0134817501810517,0.0134072062202567,0.0190072606288125
"45","Lab","wbc",0.114019048643563,0.110554146549578,0.124972907392292
"46","Lab","crp",0,7.90918891024376e-05,0
"47","Lab","alkphos",0.0267229462645967,0.0254422996550267,0.0138626845052242
"48","Lab","alt",0.0429198851841064,0.0362725875463628,0.0156535787854354
"49","Lab","ast",0.0196845027081316,0.0196036216345129,0.0103037093996727
"50","Lab","totprot",0.033606628581827,0.0190375962916496,0.0508020282009265
"51","Lab","hdl",0.041730506652267,0.0371186234045327,0.0312525466610728
"52","Lab","ldl",0.03539047025534,0.0342105981475928,0.0259120659458645
"53","Lab","trig",0.0163314762301491,0.0096924975732995,0.00755006349017291
