"","df","category","group","variable","vtype","n","nc","prop_coherent"
"68","new_cohort_raw","Lab","wbc","mean <= max","coherence",2402933,1300044,1
"69","new_cohort_raw","Lab","wbc","mindiff <= maxdiff","coherence",2402933,941081,1
"70","new_cohort_raw","Lab","crp","min <= mean","coherence",2402933,103757,1
"71","new_cohort_raw","Lab","crp","mean <= max","coherence",2402933,103757,1
"72","new_cohort_raw","Lab","crp","mindiff <= maxdiff","coherence",2402933,31802,1
"73","new_cohort_raw","Lab","alkphos","min <= mean","coherence",2402933,1253271,1
"74","new_cohort_raw","Lab","alkphos","mean <= max","coherence",2402933,1253271,1
"75","new_cohort_raw","Lab","alkphos","mindiff <= maxdiff","coherence",2402933,900661,1
"76","new_cohort_raw","Lab","alt","min <= mean","coherence",2402933,1285160,1
"77","new_cohort_raw","Lab","alt","mean <= max","coherence",2402933,1285160,1
"78","new_cohort_raw","Lab","alt","mindiff <= maxdiff","coherence",2402933,938080,1
"79","new_cohort_raw","Lab","ast","min <= mean","coherence",2402933,1286754,1
"80","new_cohort_raw","Lab","ast","mean <= max","coherence",2402933,1286754,1
"81","new_cohort_raw","Lab","ast","mindiff <= maxdiff","coherence",2402933,936947,1
"82","new_cohort_raw","Lab","totprot","min <= mean","coherence",2402933,1156634,1
"83","new_cohort_raw","Lab","totprot","mean <= max","coherence",2402933,1156634,1
"84","new_cohort_raw","Lab","totprot","mindiff <= maxdiff","coherence",2402933,826670,1
"85","new_cohort_raw","Lab","hdl","min <= mean","coherence",2402933,1262765,1
"86","new_cohort_raw","Lab","hdl","mean <= max","coherence",2402933,1262765,1
"87","new_cohort_raw","Lab","hdl","mindiff <= maxdiff","coherence",2402933,855833,1
"88","new_cohort_raw","Lab","ldl","min <= mean","coherence",2402933,1260542,1
"89","new_cohort_raw","Lab","ldl","mean <= max","coherence",2402933,1260542,1
"90","new_cohort_raw","Lab","ldl","mindiff <= maxdiff","coherence",2402933,850652,1
"91","new_cohort_raw","Lab","trig","min <= mean","coherence",2402933,1255176,1
"92","new_cohort_raw","Lab","trig","mean <= max","coherence",2402933,1255176,1
"93","new_cohort_raw","Lab","trig","mindiff <= maxdiff","coherence",2402933,845223,1
"94","new_cohort_imputed","Demographic","race","At most 1","coherence",2402933,2402933,0.99676478703318
"95","new_cohort_imputed","Demographic","smoke","At most 1","coherence",2402933,2402933,0.865996263732697
"96","new_cohort_imputed","Medication","h2r","mean <= max","coherence",2402933,2402933,0.855630181948477
"97","new_cohort_imputed","Medication","h2r","maxdiff <= max","coherence",2402933,2402933,0.973139076287187
"98","new_cohort_imputed","Medication","ppi","mean <= max","coherence",2402933,2402933,0.841219875876689
"99","new_cohort_imputed","Medication","ppi","maxdiff <= max","coherence",2402933,2402933,0.95555722943586
"100","new_cohort_imputed","Lab","a1c","min <= mean","coherence",2402933,2402933,0.777304652272868
