"","category","group","ANY","EAC","EGJAC"
"1","Demographic","gender",0.204561694653016,0.223811382290497,0.0970375924351066
"2","Demographic","bmi_weight",0.0426903952691277,0.0384792267288538,0.0155062576408339
"3","Demographic","race",0.11585189223628,0.153321468420713,0.0281430815069145
"4","Demographic","agentorange",0.000401854163903017,6.80199493393593e-05,0.000971208862173007
"5","Demographic","age",0.844930542188585,0.738961593946517,0.582585988689661
"6","Demographic","smoke",0.0402155448191475,0.0308564037642193,0.00909586546076054
"7","Comorbidities","gerd",0.0466910634606704,0.0408145812942646,0.0177343411505499
"8","Comorbidities","chf",0.000128795264260989,0.00027667133078241,0.000213080375212667
"9","Comorbidities","ctd",0,0.000106372042875228,0
"10","Comorbidities","dem",0,0,0
"11","Comorbidities","diab_c",0.00497099194179638,0.00399619041908823,0.00245542617135157
"12","Comorbidities","hiv",0,0,0
"13","Comorbidities","mld",0.00458124064767668,0.00230340198397986,0.00133059843083145
"14","Comorbidities","msld",0,4.36864202910328e-06,0
"15","Comorbidities","para",0,0,0
"16","Comorbidities","rd",0.00542793020436038,0.00426462171311236,0.00213095009160694
"17","Comorbidities","cd",0.00626498495087231,0.00319066119654752,0.00369959428612376
"18","Comorbidities","copd",0.0205359645106271,0.0193737463871017,0.0184813376417384
"19","Comorbidities","diab_nc",0.0125252430013195,0.00852277043811046,0.0108601356331026
"20","Comorbidities","mi",0.00422210240922141,0.00339440856942325,0.000409963794845389
"21","Comorbidities","pud",0.00150331496704166,8.57912877973285e-05,0
"22","Comorbidities","pvd",0.00593315254978836,0.00524502605787013,0.0047126491662534
"23","Medication","h2r",1.60287904073198e-05,0,0
"24","Medication","ppi",0.012939188082781,0.00959326392391505,0.00149198816331202
"25","Lab","a1c",0.0115687145704359,0.00576742764571758,0.00153317364302363
"26","Lab","bun",0.0347172148993083,0.0279354564955497,0.0277066203755235
"27","Lab","calc",0.0206358810325009,0.0120409520568721,0.0100321337777089
"28","Lab","chlor",0.0140709861149239,0.0156495529245133,0.0154430382626212
"29","Lab","co2",0.0380890523274875,0.0398741054429865,0.0167284812251344
"30","Lab","creat",0.0221527428272008,0.0227670449562519,0.0151974546427201
"31","Lab","gluc",0.0280195499450554,0.0279389495234152,0.0116830340958708
"32","Lab","k",0.0234299948038945,0.0212720161052698,0.0230945089457276
"33","Lab","na",0.0482802222488256,0.0412688819078619,0.037136144672864
"34","Lab","baso",0.0145433867298402,0.0120218641344727,0.00120759755054925
"35","Lab","eos",0.0101466773071646,0.0147352329274097,0.00962283051868413
"36","Lab","hct",0.035430544085431,0.0335920470079764,0.0170742410384376
"37","Lab","lymph",0.0153226496209025,0.00511002952660839,0.0132987442760322
"38","Lab","mch",0.0374483597757738,0.0353396718873527,0.0227349565889803
"39","Lab","mchc",0.0238969650739586,0.0165975776467461,0.00945574714412824
"40","Lab","mcv",0.0165309817729575,0.0169583284423882,0.0178383924305742
"41","Lab","mono",0.019005497625704,0.00906917531290741,0.00726956940849442
"42","Lab","mpv",0.0181206103808584,0.00606265440668651,0.0286948066063711
"43","Lab","neut",0.0197674694500251,0.0199490848517024,0.00276243820236414
"44","Lab","platelet",0.0133514883930627,0.0128192063761522,0.0154658542548235
"45","Lab","wbc",0.0581389059153755,0.0618945601765144,0.0620667703564978
"46","Lab","crp",0,5.63930100019388e-05,0
"47","Lab","alkphos",0.025665122786497,0.0210322482191891,0.0093437369828044
"48","Lab","alt",0.0476535599533496,0.0380974639226,0.0186711629995793
"49","Lab","ast",0.018267530597937,0.0164666857926379,0.00786761169020032
"50","Lab","totprot",0.0297884027216725,0.0173499487620533,0.0314529091968002
"51","Lab","hdl",0.0322193512433689,0.0323240683330834,0.0197573733024364
"52","Lab","ldl",0.0376342237225417,0.0314599006394555,0.0153595137202554
"53","Lab","trig",0.0189974811841543,0.00982000641811995,0.00646529944724871
