"","category","group","ANY","EAC","EGJAC"
"1","Demographic","gender",0.142098505883607,0.15340875112721,0.0748104088906262
"2","Demographic","bmi_weight",0.0498521055262301,0.0460528082935164,0.0218472750804978
"3","Demographic","race",0.155841252101359,0.200701455865406,0.0314382688593822
"4","Demographic","agentorange",0.000850662670766955,0.000178884817001971,0.00302534716157999
"5","Demographic","age",0.954623551809461,0.938805402848426,0.798491819514847
"6","Demographic","smoke",0.0504567904787801,0.0458218281669931,0.014631466308274
"7","Comorbidities","gerd",0.102102783112117,0.111111196399158,0.0268773204755074
"8","Comorbidities","chf",0.000281846051155416,0.000568178171044154,0.000387423768442664
"9","Comorbidities","ctd",0,0.000220916711155908,0
"10","Comorbidities","dem",0,0,0
"11","Comorbidities","diab_c",0.0165053281816714,0.0117343880159403,0.0130857719505939
"12","Comorbidities","hiv",0,0,0
"13","Comorbidities","mld",0.0102570916490829,0.00474604675955927,0.00527760247144526
"14","Comorbidities","msld",0,2.52458040514535e-05,0
"15","Comorbidities","para",0,0,0
"16","Comorbidities","rd",0.0178614253940499,0.0124435526994835,0.00808265954198912
"17","Comorbidities","cd",0.0196099837494943,0.011738114506372,0.0149234723869551
"18","Comorbidities","copd",0.0894899267360007,0.0825876298627901,0.0943626497216436
"19","Comorbidities","diab_nc",0.0449118019921805,0.032134782542827,0.0268963515181183
"20","Comorbidities","mi",0.0126565832662302,0.0113483615515286,0.00227474350799033
"21","Comorbidities","pud",0.00294787360064927,0.000215734572325767,0
"22","Comorbidities","pvd",0.0385111988545327,0.0348713439980486,0.0310072439291626
"23","Medication","h2r",1.65140598553621e-05,0,0
"24","Medication","ppi",0.0165124881557099,0.0141424558301005,0.00191495974035268
"25","Lab","a1c",0.0114272709600715,0.00650763479639006,0.00198629354470817
"26","Lab","bun",0.0576213737608275,0.0516448028198698,0.0434023286315133
"27","Lab","calc",0.0221281728256126,0.0132932428271433,0.0133072692706772
"28","Lab","chlor",0.0170698947744659,0.0187292407375876,0.0198249621247626
"29","Lab","co2",0.0513941819078444,0.0552006685646483,0.0238413590102298
"30","Lab","creat",0.0334418049221403,0.0349926389092484,0.0234238501994573
"31","Lab","gluc",0.0347080790434165,0.036734367058547,0.018888838621595
"32","Lab","k",0.0338906822334912,0.0288803144848939,0.0415759075350399
"33","Lab","na",0.0792385344716369,0.0715433706719499,0.0668875802868588
"34","Lab","baso",0.0177429781099599,0.0145371564756182,0.00094325930639008
"35","Lab","eos",0.0107351935487142,0.012003127870608,0.0127532239507777
"36","Lab","hct",0.035675322394432,0.035680386113921,0.0231141319474298
"37","Lab","lymph",0.0184096444579236,0.00644420168687242,0.0195174254168275
"38","Lab","mch",0.0338918495634397,0.0336339375728607,0.0192725950476223
"39","Lab","mchc",0.0272093374785763,0.0204057399108073,0.0117149012113232
"40","Lab","mcv",0.0160657223010197,0.0145634118361419,0.0162651756711978
"41","Lab","mono",0.0202842117303789,0.0106528630317689,0.00960791420104469
"42","Lab","mpv",0.0230460146704766,0.00680620616184109,0.0475370921542113
"43","Lab","neut",0.0253455079366205,0.02639543022289,0.00203143359403987
"44","Lab","platelet",0.0135262741746135,0.0134166749414344,0.0188891896535447
"45","Lab","wbc",0.0997958461340732,0.0978212950715464,0.112005216459343
"46","Lab","crp",0,8.36272335187721e-05,0
"47","Lab","alkphos",0.0267137036027317,0.0243051182969698,0.0153308822698174
"48","Lab","alt",0.0448622944258412,0.0373901345335233,0.0178506985132287
"49","Lab","ast",0.019742859582788,0.0198886006968635,0.0100909242498673
"50","Lab","totprot",0.0338083697867969,0.019097024603846,0.0494195376230571
"51","Lab","hdl",0.0392991935411995,0.0365203644755956,0.0285735909545262
"52","Lab","ldl",0.0358572768679052,0.0336219193005328,0.0249271660580552
"53","Lab","trig",0.0173322034529711,0.0097814724967487,0.00728170283165835
