"","category","group","ANY","EAC","EGJAC"
"1","Comorbidities","cd",0.00212442660450279,0.00243497435548464,0.00468462736169417
"2","Comorbidities","chf",0.000227778722429955,0,0
"3","Comorbidities","copd",0.0273382572867241,0.0211551541585093,0.0272779964650016
"4","Comorbidities","diab_c",0.0034403269748467,0.00318790750653181,0.00236185958666651
"5","Comorbidities","diab_nc",0.00767442789111752,0.00588392402908023,0.00419566566162146
"6","Comorbidities","gerd",0.017545789991346,0.021401910624088,0.0035770040303622
"7","Comorbidities","mi",0.0028986637762399,0.00243520372647037,0.00117379090673475
"8","Comorbidities","mld",0.00129234102824623,0.001176137101393,0.00235553342720676
"9","Comorbidities","pud",0.000629400358999105,0.000423978719754859,0.000888908708404663
"10","Comorbidities","pvd",0.0092501875212301,0.00858027246218947,0.0115704934868817
"11","Comorbidities","rd",0.00209536882642236,0.00187140960996699,0.00331619642273882
"12","Demographic","age",0.315700694298123,0.299691948023864,0.271050164760099
"13","Demographic","agentorange",6.35710195801252e-05,7.44679065615625e-05,0.00213353249804639
"14","Demographic","bmi_weight",0.0209393419225864,0.019701810074942,0.0166775913373324
"15","Demographic","gender",0.0328722841364679,0.0347184818552226,0.0192957267416756
"16","Demographic","race",0.0358048878310675,0.0453390547242917,0.0059862537444743
"17","Demographic","smoke",0.0127205358483387,0.0117883601775342,0.00409414285879485
"18","Lab","a1c",0.00432822644289547,0.00611871264888218,0.00314388301017209
"19","Lab","alkphos",0.0176104627024596,0.0171961113249002,0.0228316561137757
"20","Lab","alt",0.0203512042259698,0.019968475801937,0.0157486030978697
"21","Lab","ast",0.0151536514172519,0.014762116000461,0.0189467755445683
"22","Lab","baso",0.00559785649174817,0.00605310501415819,0.00341896488671108
"23","Lab","bun",0.0265931056902703,0.0278818771156737,0.0340009268121029
"24","Lab","calc",0.0164097670000722,0.0133346597727609,0.0251887048543646
"25","Lab","chlor",0.0124804443175672,0.0138669328968769,0.0195642554789071
"26","Lab","co2",0.0263985472837776,0.0322381079276864,0.0174747680277332
"27","Lab","creat",0.0192367548490903,0.0214470018766883,0.0262733441805937
"28","Lab","crp",1.7189182071296e-06,3.69757576380152e-05,0.000118767870664062
"29","Lab","eos",0.00872152646428545,0.0114282019491687,0.0105892235867074
"30","Lab","gluc",0.025342251334416,0.0286772523077935,0.023566832750886
"31","Lab","hct",0.0213146378823325,0.0217379631764449,0.0297107213159097
"32","Lab","hdl",0.02128740935609,0.0194619616000995,0.0340168665905633
"33","Lab","k",0.0211845031781173,0.0223566274108119,0.0241706891037013
"34","Lab","ldl",0.0210970348950317,0.0217445359865655,0.0310036320628895
"35","Lab","lymph",0.00971304005282877,0.00559085421551554,0.0224033077474317
"36","Lab","mch",0.0187835516780703,0.0196282765865356,0.0170201537414945
"37","Lab","mchc",0.0153323102900748,0.0188983972049449,0.0211836227752647
"38","Lab","mcv",0.014819140623641,0.0151524647760666,0.0153113809594821
"39","Lab","mono",0.00938011174092058,0.00872116934196784,0.00968274968992279
"40","Lab","mpv",0.00929810867476105,0.00836913244064897,0.0231613633277396
"41","Lab","na",0.0392298292406608,0.0362198016132872,0.0426840237182375
"42","Lab","neut",0.010256419775355,0.0103644315214349,0.00324996026987962
"43","Lab","platelet",0.0157950808292528,0.016449861581898,0.0266461415247462
"44","Lab","totprot",0.0115452762656415,0.0110689359786092,0.019842518488879
"45","Lab","trig",0.015364866784554,0.0166292446415619,0.0210269352640034
"46","Lab","wbc",0.0478403398795823,0.0457731947305384,0.0554375725447375
"47","Medication","h2r",1.05630318432997e-06,0,0
"48","Medication","ppi",0.00691348137362178,0.00893663389417568,0.0019421666623269
"49","Comorbidities","msld",0,2.19878483837281e-05,0
