Risk percentile,TPR (%),PPV (%),Detection prevalance (%),"Risk threshold (/100,000)"
0.83,35.21,4.71,0.83,1383
0.82,35.03,4.74,0.82,1394
0.81,34.96,4.79,0.81,1405
0.8,34.82,4.83,0.8,1417
0.79,34.68,4.87,0.79,1429
0.78,34.47,4.9,0.78,1441
0.77,34.36,4.95,0.77,1452
0.76,34.22,5,0.76,1466
0.75,34.12,5.05,0.75,1479
0.74,33.98,5.1,0.74,1494
0.73,33.87,5.15,0.73,1507
0.72,33.8,5.21,0.72,1522
0.71,33.63,5.26,0.71,1536
0.7,33.56,5.32,0.7,1549
0.69,33.42,5.37,0.69,1564
0.68,33.31,5.44,0.68,1579
0.67,33.13,5.49,0.67,1594
0.66,32.96,5.54,0.66,1609
0.65,32.85,5.61,0.65,1624
0.64,32.68,5.67,0.64,1640
0.63,32.47,5.72,0.63,1657
0.62,32.36,5.79,0.62,1675
0.61,32.22,5.86,0.61,1693
0.6,32.05,5.93,0.6,1712
0.59,32.05,6.03,0.59,1731
0.58,31.98,6.12,0.58,1751
0.57,31.77,6.18,0.57,1772
0.56,31.63,6.27,0.56,1792
0.55,31.59,6.37,0.55,1814
0.54,31.45,6.46,0.54,1835
0.53,31.2,6.53,0.53,1858
0.52,31.06,6.63,0.52,1881
0.51,31.03,6.75,0.51,1906
0.5,30.85,6.85,0.5,1930
0.49,30.64,6.94,0.49,1956
0.48,30.54,7.06,0.48,1982
0.47,30.33,7.16,0.47,2010
0.46,30.01,7.24,0.46,2040
0.45,29.87,7.37,0.45,2070
0.44,29.66,7.48,0.44,2101
0.43,29.52,7.62,0.43,2134
0.42,29.31,7.74,0.42,2166
0.41,29.06,7.87,0.41,2202
0.4,28.64,7.95,0.4,2237
0.39,28.4,8.08,0.39,2275
0.38,28.15,8.22,0.38,2315
0.37,28.01,8.4,0.37,2352
0.36,27.83,8.58,0.36,2393
0.35,27.66,8.77,0.35,2436
0.34,27.48,8.97,0.34,2484
0.33,27.41,9.22,0.33,2533
0.32,27.1,9.4,0.32,2585
0.31,26.78,9.59,0.31,2638
0.3,26.5,9.8,0.3,2693
0.29,26.4,10.1,0.29,2751
0.28,26.11,10.35,0.28,2813
0.27,25.9,10.65,0.27,2877
0.26,25.66,10.95,0.26,2947
0.25,25.24,11.2,0.25,3027
0.24,25.06,11.59,0.24,3102
0.23,24.89,12.01,0.23,3178
0.22,24.64,12.43,0.22,3269
0.21,24.25,12.82,0.21,3370
0.2,23.8,13.2,0.2,3472
0.19,23.48,13.71,0.19,3604
0.18,23.03,14.2,0.18,3735
0.17,22.57,14.73,0.17,3891
0.16,22.15,15.36,0.16,4052
0.15,21.83,16.15,0.15,4248
0.14,21.52,17.06,0.14,4445
0.13,20.95,17.88,0.13,4655
0.12,20.36,18.83,0.12,4913
0.11,19.83,20.01,0.11,5223
0.1,19.45,21.57,0.1,5618
0.09,18.95,23.37,0.09,6046
0.08,18.36,25.46,0.08,6587
0.07,17.73,28.1,0.07,7206
0.06,16.88,31.21,0.06,8065
0.05,15.8,35.05,0.05,9176
0.04,14.57,40.41,0.04,10822
0.03,13.3,49.16,0.03,13996
0.02,11.06,61.28,0.02,20044
0.01,7.27,80.54,0.01,39376
