"","tpr","ppv","detection_prevalance"
"  10",99.5085995085995,0.139438870441861,79.2011206546293
"  15",99.1926991926992,0.143575017946877,76.675284789552
"  20",99.052299052299,0.147190753374643,74.6858968840363
"  25",98.7363987363987,0.150477215513543,72.8217489894125
"  30",98.4555984555985,0.154102336037587,70.9064533080698
"  35",97.9290979290979,0.15770525848118,68.916013620192
"  40",97.2621972621973,0.161406443676083,66.8771529887564
"  45",96.7707967707968,0.165707801309314,64.8120757080735
"  50",95.8230958230958,0.169510994930193,62.7374544763273
"  55",94.6647946647947,0.173167566748488,60.6703515407248
"  60",93.8574938574938,0.177781914646065,58.5916789991395
"  65",92.8044928044928,0.182274180627922,56.5065009888702
"  70",91.5408915408916,0.186612018729893,54.4415016179919
"  75",89.9262899262899,0.19043102672947,52.4087179513149
"  80",88.7679887679888,0.195479620727796,50.397554255414
"  85",87.3990873990874,0.200338241754351,48.416970157818
"  90",86.030186030186,0.205456199102229,46.4714454722912
"  95",84.3453843453843,0.210009123991904,44.5736015871785
" 100",82.9062829062829,0.215507606177641,42.6952351532155
" 105",80.8353808353808,0.219505802177902,40.8705096197183
" 110",79.2558792558793,0.225062021631072,39.0826354237962
" 115",77.8869778869779,0.231456129206551,37.346571247932
" 120",76.0617760617761,0.236687812379854,35.6652387097981
" 125",74.3418743418743,0.242455601319654,34.0295223622564
" 130",72.2709722709723,0.247222795886904,32.4436682896577
" 135",69.95436995437,0.251192312733799,30.9074427625882
" 140",68.3046683046683,0.257294755867471,29.4628002108239
" 145",66.3390663390663,0.262366266083816,28.061826104537
" 150",64.4085644085644,0.267583205982198,26.7140254398885
" 155",62.969462969463,0.274716860938754,25.4389535778325
" 160",61.2144612144612,0.280572599768978,24.213821900524
" 165",59.3892593892594,0.285925760694333,23.0520308943539
" 170",57.6342576342576,0.291527590370002,21.9409591709774
" 175",55.7037557037557,0.296074908630947,20.8803340460782
" 180",53.8785538785539,0.300672644861534,19.8873346315704
" 185",52.6149526149526,0.308515564702856,18.927213154603
" 190",50.965250965251,0.31381363533213,18.0242385193086
" 195",49.4910494910495,0.319870781278712,17.1714377981754
" 200",47.8062478062478,0.324253288956819,16.3626950715426
" 210",45.033345033345,0.335972933622432,14.875942270393
" 220",41.8392418392418,0.343107483024527,13.5334394724571
" 230",39.3471393471393,0.353967211458307,12.3368617385339
" 240",36.960336960337,0.364753644072493,11.2458128349391
" 250",34.8543348543349,0.376405835996225,10.276731730443
" 260",32.8185328185328,0.387343198501997,9.40324595618898
" 270",31.5198315198315,0.405978462345272,8.6165906591598
" 280",29.5191295191295,0.414348989254517,7.90663756475766
" 290",27.8694278694279,0.425808043159989,7.26388167682156
" 300",26.044226044226,0.433160730652251,6.67293580894335
" 325",22.007722007722,0.449439813055976,5.43448155504854
" 350",18.6732186732187,0.464961806708735,4.45714201126498
" 375",16.1460161460161,0.48962213943587,3.65981307100583
" 400",14.040014040014,0.51454886927886,3.02827619493189
" 425",12.5658125658126,0.554334024960515,2.51578550028418
" 450",10.7406107406107,0.568224021391963,2.09779939861422
" 475",9.23130923130923,0.583420217839792,1.75604804074371
" 500",8.10810810810811,0.610868702895676,1.47307963044263
" 600",4.31730431730432,0.640258185414606,0.748362628069111
" 700",2.80800280800281,0.790045427612088,0.394457340681267
" 800",1.75500175500175,0.898311174991017,0.216822986197109
" 900",1.01790101790102,0.921805467260013,0.122552122633149
"1000",0.491400491400491,0.793201133144476,0.0687554025580126
"1100",0.280800280800281,0.738688827331487,0.0421881591899873
"1200",0.175500175500176,0.730994152046784,0.0266451531726236
"1300",0.0702000702000702,0.503778337531486,0.0154650962127654
"1400",0.0702000702000702,0.806451612903226,0.00966081577019101
"1500",0.0702000702000702,1.18343195266272,0.00658337848855758
"1600",0.0351000351000351,0.900900900900901,0.00432399415520646
"1700",0.0351000351000351,1.33333333333333,0.0029216176724368
"1800",0.0351000351000351,2,0.00194774511495786
"1900",0.0351000351000351,2.94117647058824,0.00132446667817135
"2000",0.0351000351000351,4,0.000973872557478932
